iter	Passed	Remaining
0	157	314701
1	174	174085
2	191	127641
3	208	104057
4	225	90165
5	242	80650
6	259	73767
7	276	68803
8	292	64750
9	312	62170
10	329	59601
11	347	57577
12	364	55723
13	381	54166
14	398	52701
15	415	51514
16	432	50432
17	450	49593
18	469	48910
19	486	48165
20	503	47494
21	521	46920
22	540	46426
23	559	46044
24	575	45460
25	592	44997
26	609	44561
27	627	44170
28	643	43760
29	660	43366
30	676	42981
31	694	42733
32	711	42390
33	727	42082
34	745	41882
35	762	41607
36	779	41365
37	796	41121
38	813	40905
39	830	40689
40	847	40474
41	864	40288
42	879	40035
43	895	39815
44	911	39608
45	928	39460
46	946	39342
47	963	39169
48	978	38976
49	994	38801
50	1011	38672
51	1027	38481
52	1042	38311
53	1059	38176
54	1075	38033
55	1090	37870
56	1107	37739
57	1123	37607
58	1138	37467
59	1154	37316
60	1170	37200
61	1185	37060
62	1201	36934
63	1218	36848
64	1234	36741
65	1250	36638
66	1266	36539
67	1282	36447
68	1298	36340
69	1313	36208
70	1329	36118
71	1345	36026
72	1360	35911
73	1375	35799
74	1390	35697
75	1405	35592
76	1421	35508
77	1436	35393
78	1452	35316
79	1468	35237
80	1483	35157
81	1499	35065
82	1514	34970
83	1529	34889
84	1544	34795
85	1560	34729
86	1575	34653
87	1592	34593
88	1608	34530
89	1623	34462
90	1639	34388
91	1653	34300
92	1670	34245
93	1685	34179
94	1700	34104
95	1715	34021
96	1730	33943
97	1745	33876
98	1760	33812
99	1776	33747
100	1791	33681
101	1806	33621
102	1820	33531
103	1835	33469
104	1850	33389
105	1865	33335
106	1882	33295
107	1897	33235
108	1912	33178
109	1927	33112
110	1941	33048
111	1956	32989
112	1971	32930
113	1986	32864
114	2001	32801
115	2015	32735
116	2029	32661
117	2044	32608
118	2058	32542
119	2073	32478
120	2088	32425
121	2102	32358
122	2117	32306
123	2132	32257
124	2146	32198
125	2161	32152
126	2175	32085
127	2190	32031
128	2205	31984
129	2220	31940
130	2235	31892
131	2250	31854
132	2265	31797
133	2279	31742
134	2293	31689
135	2309	31659
136	2324	31609
137	2338	31551
138	2353	31505
139	2368	31464
140	2384	31435
141	2398	31385
142	2412	31333
143	2427	31288
144	2442	31247
145	2457	31203
146	2471	31156
147	2487	31124
148	2501	31071
149	2516	31031
150	2530	30982
151	2544	30940
152	2559	30898
153	2575	30872
154	2591	30845
155	2606	30811
156	2621	30770
157	2636	30740
158	2652	30713
159	2667	30675
160	2682	30645
161	2698	30611
162	2713	30577
163	2730	30565
164	2745	30532
165	2757	30467
166	2773	30440
167	2788	30405
168	2803	30371
169	2819	30351
170	2833	30302
171	2849	30282
172	2864	30247
173	2880	30225
174	2892	30165
175	2905	30111
176	2920	30079
177	2934	30039
178	2950	30015
179	2965	29982
180	2980	29957
181	2996	29931
182	3013	29919
183	3025	29864
184	3041	29835
185	3056	29813
186	3073	29800
187	3087	29754
188	3102	29727
189	3118	29712
190	3134	29689
191	3147	29639
192	3163	29621
193	3179	29595
194	3194	29567
195	3210	29546
196	3222	29497
197	3238	29470
198	3253	29445
199	3267	29405
200	3281	29368
201	3295	29332
202	3309	29298
203	3322	29251
204	3336	29217
205	3351	29190
206	3364	29142
207	3379	29116
208	3394	29092
209	3410	29072
210	3424	29033
211	3436	28984
212	3451	28960
213	3467	28937
214	3481	28906
215	3494	28860
216	3507	28819
217	3520	28779
218	3535	28751
219	3550	28723
220	3564	28695
221	3580	28673
222	3593	28631
223	3604	28578
224	3616	28532
225	3629	28493
226	3645	28474
227	3662	28465
228	3677	28438
229	3694	28428
230	3707	28393
231	3723	28377
232	3736	28337
233	3753	28324
234	3767	28296
235	3783	28280
236	3796	28242
237	3811	28218
238	3826	28192
239	3840	28167
240	3854	28130
241	3866	28090
242	3894	28158
243	3909	28133
244	3921	28093
245	3930	28027
246	3942	27977
247	3956	27949
248	3968	27903
249	3982	27875
250	3993	27825
251	4001	27759
252	4015	27724
253	4026	27677
254	4038	27634
255	4049	27584
256	4060	27539
257	4072	27499
258	4084	27455
259	4098	27428
260	4111	27392
261	4124	27358
262	4136	27318
263	4148	27280
264	4162	27249
265	4174	27213
266	4187	27179
267	4200	27144
268	4212	27109
269	4224	27069
270	4237	27034
271	4249	26995
272	4260	26954
273	4273	26919
274	4286	26887
275	4297	26842
276	4309	26804
277	4320	26765
278	4332	26726
279	4345	26695
280	4358	26663
281	4371	26630
282	4383	26593
283	4395	26558
284	4408	26525
285	4422	26502
286	4438	26490
287	4451	26463
288	4465	26438
289	4480	26419
290	4492	26385
291	4504	26345
292	4516	26314
293	4529	26284
294	4542	26252
295	4555	26223
296	4567	26191
297	4580	26160
298	4593	26133
299	4608	26113
300	4620	26083
301	4633	26053
302	4646	26023
303	4658	25989
304	4672	25964
305	4684	25935
306	4697	25902
307	4709	25869
308	4721	25839
309	4734	25808
310	4746	25778
311	4759	25748
312	4771	25715
313	4783	25685
314	4796	25656
315	4808	25625
316	4821	25599
317	4834	25571
318	4847	25545
319	4861	25524
320	4873	25493
321	4885	25460
322	4898	25433
323	4910	25403
324	4924	25377
325	4936	25349
326	4948	25317
327	4960	25288
328	4972	25256
329	4984	25226
330	4997	25197
331	5009	25167
332	5021	25135
333	5033	25106
334	5045	25074
335	5056	25042
336	5069	25018
337	5082	24991
338	5094	24960
339	5106	24929
340	5118	24902
341	5130	24870
342	5142	24840
343	5154	24811
344	5166	24786
345	5181	24771
346	5194	24746
347	5206	24716
348	5219	24693
349	5232	24669
350	5245	24643
351	5257	24615
352	5270	24589
353	5282	24563
354	5295	24537
355	5307	24511
356	5320	24487
357	5333	24460
358	5345	24432
359	5357	24408
360	5370	24384
361	5383	24358
362	5395	24332
363	5408	24307
364	5420	24281
365	5432	24252
366	5444	24227
367	5456	24200
368	5469	24174
369	5482	24151
370	5495	24131
371	5508	24109
372	5522	24087
373	5534	24063
374	5547	24037
375	5560	24014
376	5572	23991
377	5585	23965
378	5597	23939
379	5609	23913
380	5621	23887
381	5648	23923
382	5661	23901
383	5673	23876
384	5686	23852
385	5698	23826
386	5710	23800
387	5722	23775
388	5734	23750
389	5747	23725
390	5759	23702
391	5772	23677
392	5784	23652
393	5796	23628
394	5809	23603
395	5820	23576
396	5832	23551
397	5845	23528
398	5858	23506
399	5871	23485
400	5884	23462
401	5896	23440
402	5909	23419
403	5923	23399
404	5936	23378
405	5949	23357
406	5962	23337
407	5975	23315
408	5988	23293
409	6000	23269
410	6012	23244
411	6025	23223
412	6037	23200
413	6049	23176
414	6062	23152
415	6074	23128
416	6086	23107
417	6099	23086
418	6112	23062
419	6124	23039
420	6137	23020
421	6150	22997
422	6163	22977
423	6175	22955
424	6188	22932
425	6201	22913
426	6213	22889
427	6225	22866
428	6238	22845
429	6251	22824
430	6263	22801
431	6275	22779
432	6288	22756
433	6300	22733
434	6312	22709
435	6324	22688
436	6336	22663
437	6348	22639
438	6360	22615
439	6371	22591
