stage,seconds
Prepare output dirs,0.00016719999257475138
CSV loading + dedup/cleanup,1.238836700009415
Prepare X/y,0.020927999983541667
Split (stratified),0.20765639998717234
Build pipeline (preprocessor + model),6.150000263005495e-05
Train (fit),3.879695800016634
Predictions + threshold sweep (validation),1.1112098000012338
Test evaluation (metrics + confusion matrix),0.01584700000239536
Build PR curve points (test),0.004720800003269687
Save CSV artifacts,0.07312950000050478
Generate plots,0.3799478999862913
TOTAL,6.932200599985663
