stage,seconds
Prepare output dirs,0.00018709999858401716
CSV loading + dedup/cleanup,1.1335940999852028
Prepare X/y,0.014022299990756437
Split (stratified),0.18858769998769276
Build pipeline (preprocessor + model),2.300000051036477e-05
Train (fit),1.2758705000160262
Predictions + threshold sweep (validation),0.699244199990062
Test evaluation (metrics + confusion matrix),0.01674670001375489
Build PR curve points (test),0.005308299994794652
Save CSV artifacts,0.07292369997594506
Generate plots,0.36900360000436194
TOTAL,3.775511199957691
