stage,seconds
Prepare output dirs,0.00014719998580403626
CSV loading + dedup/cleanup,1.2403429000114556
Prepare X/y,0.018325399985769764
Split (stratified),0.1940646999864839
Filter train normals (class 0 only),0.015356299991253763
"Preprocessing (fit on normals, transform val/test)",0.14595149998785928
Train OCSVM (fit on normals),31.836964500020258
Predictions + threshold sweep (validation),12.034965800005011
Test evaluation (metrics + confusion matrix),0.01858390000415966
Build PR curve points (test),0.005499199993209913
Save CSV artifacts,0.07526120002148673
Generate plots,0.37831820000428706
TOTAL,45.96378079999704
